City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
125,Potam,27.6,-110.3833,71.6,49,0,3.74,MX,2022-04-07 14:28:33
126,Keffi,8.8486,7.8736,101.93,24,100,3.91,NG,2022-04-07 14:28:33
127,Kaitangata,-46.2817,169.8464,48.04,72,68,13.02,NZ,2022-04-07 14:28:33
128,Ilhabela,-23.7781,-45.3581,76.39,74,99,4.61,BR,2022-04-07 14:28:34
129,Mount Gambier,-37.8333,140.7667,55.31,88,0,9.22,AU,2022-04-07 14:28:34
130,Poitiers,46.5833,0.3333,58.24,62,100,19.57,FR,2022-04-07 14:28:34
131,Fershampenuaz,53.5202,59.8117,39.6,84,88,14.85,RU,2022-04-07 14:28:35
132,Narsaq,60.9167,-46.05,37.62,66,95,2.08,GL,2022-04-07 14:28:35
133,Olinda,-8.0089,-34.8553,85.73,74,40,8.05,BR,2022-04-07 14:28:35
134,Namwala,-15.7504,26.4384,77.86,65,52,7.38,ZM,2022-04-07 14:29:35
135,Dali,25.7,100.1833,57.51,68,100,1.61,CN,2022-04-07 14:29:36
136,Jinchang,38.4953,102.1739,61.83,10,0,7.14,CN,2022-04-07 14:29:36
137,Port Blair,11.6667,92.75,82.44,78,40,2.3,IN,2022-04-07 14:29:36
138,Luderitz,-26.6481,15.1594,74.55,49,22,23.51,NA,2022-04-07 14:25:45
139,Cap Malheureux,-19.9842,57.6142,79.47,83,44,5.01,MU,2022-04-07 14:29:37
140,Dire Dawa,9.5931,41.8661,87.82,16,100,12.95,ET,2022-04-07 14:29:37
141,Ponta Do Sol,32.6667,-17.1,66.83,89,41,0.54,PT,2022-04-07 14:29:37
142,Kudahuvadhoo,2.6708,72.8944,84.18,66,68,2.57,MV,2022-04-07 14:29:38
143,Ushuaia,-54.8,-68.3,40.62,75,20,10.36,AR,2022-04-07 14:26:23
144,Saskylakh,71.9167,114.0833,-19.82,100,6,2.33,RU,2022-04-07 14:29:38
145,Barrow,71.2906,-156.7887,-2.18,78,100,9.22,US,2022-04-07 14:29:38
146,Saint-Philippe,-21.3585,55.7679,78.39,81,43,10.38,RE,2022-04-07 14:29:39
147,Kibre Mengist,5.8833,38.9833,83.07,21,100,9.37,ET,2022-04-07 14:29:39
148,Hovd,48.0056,91.6419,55.81,23,33,9.13,MN,2022-04-07 14:29:39
149,Cayenne,4.9333,-52.3333,84.24,1,75,11.5,GF,2022-04-07 14:29:40
150,Cairns,-16.9167,145.7667,76.95,89,40,6.91,AU,2022-04-07 14:29:40
151,Banyuwangi,-8.2325,114.3576,76.35,92,97,2.73,ID,2022-04-07 14:29:40
152,Anadyr,64.75,177.4833,-1.7,78,0,6.71,RU,2022-04-07 14:29:40
153,Morondava,-20.2833,44.2833,84.34,54,0,10.18,MG,2022-04-07 14:29:41
154,Lagoa,39.05,-27.9833,60.76,87,100,23.4,PT,2022-04-07 14:29:41
155,Sangar,63.9242,127.4739,-1.7,99,99,1.45,RU,2022-04-07 14:29:41
156,Walvis Bay,-22.9575,14.5053,76.15,46,0,9.22,NA,2022-04-07 14:29:42
157,Husavik,66.0449,-17.3389,27.52,68,92,7.45,IS,2022-04-07 14:29:42
158,Hanyang,32.1371,105.5126,60.15,67,0,3.24,CN,2022-04-07 14:29:42
159,Dzaoudzi,-12.7887,45.2699,85.89,70,0,8.05,YT,2022-04-07 14:29:43
160,Geraldton,-28.7667,114.6,75.61,78,100,10.36,AU,2022-04-07 14:29:43
161,Mehamn,71.0357,27.8492,32.81,95,100,20.65,NO,2022-04-07 14:25:03
162,Nemuro,43.3236,145.575,35.28,79,100,10.71,JP,2022-04-07 14:29:43
163,Saldanha,-33.0117,17.9442,69.85,62,70,23.71,ZA,2022-04-07 14:29:44
164,Mangrol,21.1167,70.1167,87.33,48,92,18.32,IN,2022-04-07 14:29:44
165,Opuwo,-18.0607,13.84,87.84,26,0,5.14,NA,2022-04-07 14:29:44
166,Port Lincoln,-34.7333,135.8667,61.09,87,54,11.9,AU,2022-04-07 14:29:44
167,Salalah,17.0151,54.0924,82.49,74,0,8.05,OM,2022-04-07 14:29:45
168,Moscow,55.7522,37.6156,48.43,100,100,9.51,RU,2022-04-07 14:27:49
169,Reconquista,-29.15,-59.65,64.06,95,100,18.45,AR,2022-04-07 14:29:45
170,Chuy,-33.6971,-53.4616,71.62,54,100,4.68,UY,2022-04-07 14:29:45
171,Boa Vista,2.8197,-60.6733,87.78,51,40,23.02,BR,2022-04-07 14:29:46
172,Lerici,44.0759,9.9112,61.0,75,40,3.0,IT,2022-04-07 14:29:46
173,Moreira Sales,-24.0622,-53.0069,80.1,71,100,7.54,BR,2022-04-07 14:29:46
174,Ambon,-3.6954,128.1814,78.94,89,40,13.8,ID,2022-04-07 14:29:47
175,San Cristobal,7.7669,-72.225,71.78,66,100,5.46,VE,2022-04-07 14:29:47
176,Hilo,19.7297,-155.09,71.33,88,100,6.91,US,2022-04-07 14:29:47
177,Osakarovka,50.565,72.5692,40.41,84,100,5.23,KZ,2022-04-07 14:29:48
178,Codrington,-38.2667,141.9667,56.03,91,0,8.75,AU,2022-04-07 14:29:48
179,Raga,8.4596,25.678,101.25,22,75,3.4,SS,2022-04-07 14:29:48
180,Presidencia Roque Saenz Pena,-26.7852,-60.4388,73.83,92,94,9.35,AR,2022-04-07 14:29:48
181,Te Anau,-45.4167,167.7167,42.62,85,53,1.41,NZ,2022-04-07 14:29:49
182,Vestmannaeyjar,63.4427,-20.2734,38.39,65,0,3.44,IS,2022-04-07 14:30:49
183,Shingu,33.7333,135.9833,54.95,86,0,6.71,JP,2022-04-07 14:29:15
184,Pevek,69.7008,170.3133,-3.3,98,100,8.52,RU,2022-04-07 14:30:49
